"Num Rue","Nom Rue","Ville","Code Postal"
2029,"شهید بهشتی","قزوین",25216
6818,"Rue des Ecrivains","Boulogne-Billancourt",42469
9962,"Chimanlal Girdharlal Rd","Srikakulam",50221
7694,"Henry Street","Ashbourne",33965
2694,"Şehitler Cd","Çankırı",74573
9212,"Valley View Ln","Melbourne",1348
1813,"Rue de L'Abbé-De-L'Épée","Rennes",26378
2874,"Rochestown Road","Ballina",30437
5086,"Novara Avenue","Gorey",10756
7183,"Setervollveien","Eikelandsosen","1385"
1014,"Pierre Ave","Stirling","W7O 4M9"
8586,"Vishneva","Korec",34381
9103,"Korkeavuorenkatu","Halsua",81921
8924,"Lichfield Street","Wellington",59006
8631,"Grande Rue","Metz",86929
5055,"E Sandy Lake Rd","Mackay",7022
4399,"Daisy Dr","Billings",58593
3466,"Privada Somalia","San Martín Peras",33042
1367,"King Street","Canterbury","JN6 8JF"
6065,"Samaritan Dr","North Las Vegas",83623
2016,"St Aubyn Street","Wellington",51788
8189,"School Lane","Newry","B98 3NT"
2092,"Eduarda Mihela ","Ada",82426
4895,"رسالت","قزوین",75491
7703,"Mirza Ghalib St","Ghaziabad",75559
3024,"Feldstraße","Wernigerode",93560
7573,"Rua Boa Vista ","Muriaé",72819
6437,"Brown Terrace","Albuquerque",27319
3738,"Calle de Segovia","Cartagena",48426
6147,"Skrenten","Eikeland","0028"
9180,"Bratislava Grbića","Petrovac na Mlavi",16819
3544,"Marshland Road","Hastings",69046
5087,"Rua Rio de Janeiro ","Bacabal",71077
1954,"Stevana Georgijevića ","Zaječar",13194
7882,"Queens Road","City of London","UP9H 3UP"
2824,"Cecilie Thoresens vei","Kleive","9657"
5661,"Hämeenkatu","Kristinestad",88669
9556,"Mirza Ghalib St","Sikar",33645
7068,"Nørregårdsvej","Agerbæk",28044
2688,"Frances Ct","Dubbo",7417
9158,"Atatürk Sk","Bartın",70810
6254,"Hunters Creek Dr","Wagga Wagga",8472
3661,"Railroad St","Bathurst",2865
3251,"Rautatienkatu","Hervanta",46230
7086,"دماوند","ساری",84681
6575,"Coastal Highway","Cornwall","X7E 9W4"
6866,"Prolongación Norte Serna","Sabancuy",92515
9057,"Calle Covadonga","Santa Cruz de Tenerife",98282
8478,"Otavalankatu","Kyyjärvi",50758
4964,"Circunvalación Guerrero","La Ascensión",80935
6832,"Filistin Cd","Eskişehir",99265
6583,"MG Rd Bangalore","Indore",55021
6009,"Calle de La Almudena","Cuenca",54198
5745,"Højlundsvej","Sandved",65042
8523,"Kings Road","Swansea","LY4P 4DS"
3249,"Sao Tome Old Quarter","Kamarhati",86770
1779,"Car St","Solapur",67858
7993,"Egholmvej","Pandrup",39493
287,"Fredrikinkatu","Haukipudas",31699
8022,"Crockett St","Port Macquarie",3808
4007,"36th Ave","Aylmer","G9K 9Z3"
602,"Rue du 8 Mai 1945","Rouen",85886
2961,"Windsor Road","Sheffield","TO2 0HN"
6060,"Heideweg","Herzogenaurach",98790
1055,"Bağdat Cd","Zonguldak",41936
1426,"Sinsenterrassen","Skålevik","3133"
3979,"Trg Karađorđevih Ustanika","Požega",71596
2371,"Am Bahnhof","Willich",76934
9996,"Žarka Vasiljevića","Trgovište",55910
4595,"Weymouth Road","Napier",43280
6358,"Rua Espirito Santo ","Ji-Paraná",32355
2882,"استاد قریب","ساری",65802
3994,"Mcclellan Rd","El Monte",53242
5458,"Continuación Zacatecas","San Antonio del Mar",89496
8681,"Coastal Highway","Westport","R2G 4F1"
2814,"Vasilkivskiy provulok","Sievierodoneck",19872
7843,"Mevlana Cd","Aydın",13831
970,"Draaitor","Roelofarendsveen","7462 NL"
3136,"Hämeentie","Kumlinge",17449
219,"E North St","Surrey",29881
8611,"Mcclellan Rd","Savannah",54085
1848,"Evans Street","Timaru",82855
4271,"Tehtaankatu","Nykarleby",98575
5303,"Grange Road","Norwich","UK4Y 3UZ"
4925,"Peatonal San Marino","Santa Ana Ahuehuepan",87915
741,"Avenue Jean-Jaurès","Huttwil",1126
9109,"Groveland Terrace","Saint Paul",50832
9085,"Rue des Ecrivains","Nantes",21674
4524,"Cours Charlemagne","Giez",5201
9762,"Fincher Rd","Gladstone",6881
9422,"Balmoral Road","Christchurch",91996
9085,"Rue Docteur-Bonhomme","Niederbipp",8366
1827,"Oak St","Maidstone","K2H 9N9"
5883,"Belostenska","Kragujevac",56667
1770,"Amsinksweg","Vierlingsbeek","0415 VK"
309,"ستارخان","ملارد",83147
5169,"Maglehøjvej","Viby Sj.",18390
3135,"Miodraga Avramovića ","Vranje",37647
652,"Calle de Toledo","San Sebastián",87861
8528,"Rue de L'Abbaye","Strasbourg",23623
